No,Type,Name,M,WS,BS,A,W,Ld,Sv,N,Pt,Weapon,Type,Rng,A,SAP,SAT,Abilties,Keywords,Options
9,,,"9""",3+,-,4,4,7,9+,20,20,,,,,,,,,
9,,,,,,,,,,,,,,,,,,"Purestrain Genestealers are a unit that contains 5 models. It can contain 10 models (Power Rating 10), 15 models (Power Rating 15) or 20 models (Power Rating 20). It is equipped with: Purestrain Claws.",,
9,,,,,,,,,,,,Purestrain Claws,Melee,Melee,x3,6+,8+,,,
10,Elites,Aberrants,"6""",3+,6+,1,2,6,10+,5,5,,,,,,,Ignore Damage (6+),"Tyranids, Genestealer Cults, <Cult>
Light, Infantry, Aberrants",per 10 models (Power Rating 9): It can contain 10 models (Power Rating 9)
10,,,"6""",3+,6+,2,4,6,10+,10,9,,,,,,,,,
10,,,,,,,,,,,,,,,,,,Aberrants are a unit that contains 5 models. It can contain 10 models (Power Rating 9). It is equipped with: Aberrant Weapons.,,
10,,,,,,,,,,,,Aberrant Weapons,Melee,Melee,x2,5+,7+,,,
11,Elites,Hybrid Metamorphs,"6""",3+,4+,1,1,6,10+,5,4,,,,,,,,"Tyranids, Genestealer Cults, <Cult>
Light, Infantry, Hybrid Metamorphs",per 10 models (Power Rating 8): It can contain 10 models (Power Rating 8)
11,,,"6""",3+,4+,2,2,6,10+,10,8,,,,,,,,,
11,,,,,,,,,,,,,,,,,,Hybrid Metamorphs are a unit that contains 5 models. It can contain 10 models (Power Rating 8). It is equipped with: Metamorph Weapons (Ranged); Metamorph Weapons (Melee).,,
11,,,,,,,,,,,,Metamorph Weapons (Ranged),Small Arms,"12""",User,7+,9+,,,
11,,,,,,,,,,,,Metamorph Weapons (Melee),Melee,Melee,x3,7+,8+,,,
12,Elites,Clamavus,"6""",3+,3+,1,1,6,10+,1,3,,,,,,,"Scrambler Array: Enemy units that arrive as reinforcements using the Deep Strike ability cannot be set up within 12"" of this unit.","Tyranids, Genestealer Cults, <Cult>
Light, Infantry, Character, Clamavus",
12,,,,,,,,,,,,,,,,,,A Clamavus is a unit that contains 1 model. It is equipped with: Close Combat Weapons.,,
12,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,10+,10+,,,
13,Elites,Locus,"6""",2+,3+,1,1,6,9+,1,3,,,,,,,"Unquestioning Bodyguard: At the start of the Damage phase, you can select one friendly <Cult> Light Character unit within 6"" of this unit; remove up to D3 blast markers from that Character unit and place them next to this unit.","Tyranids, Genestealer Cults, <Cult>
Light, Infantry, Character, Locus",
13,,,,,,,,,,,,,,,,,,A Locus is a unit that contains 1 model. It is equipped with: Locus Blades.,,
13,,,,,,,,,,,,Locus Blades,Melee,Melee,User,7+,8+,,,
14,Elites,Sanctus,"6""",2+,2+,1,1,6,10+,1,3,,,,,,,"Infiltrators
Cult Assassin: This unit cannot be a Warlord.","Tyranids, Genestealer Cults, <Cult>
Light, Infantry, Character, Sanctus","per Unit: Instead of 1 Silencer Sniper Rifle, this unit can be equipped with 1 Sanctus Bio-dagger."
14,,,,,,,,,,,,,,,,,,A Sanctus is a unit that contains 1 model. It is equipped with: Silencer Sniper Rifle; Familiar Claws.,,
14,,,,,,,,,,,,,,,,,,"Instead of 1 Silencer Sniper Rifle, this unit can be equipped with 1 Sanctus Bio-dagger.",,
14,,,,,,,,,,,,Silencer Sniper Rifle,Small Arms,"36""",User,8+,10+,Sniper,,
14,,,,,,,,,,,,Sanctus Bio-dagger,Melee,Melee,x2,7+,9+,,,
14,,,,,,,,,,,,Familiar Claws,Melee,Melee,User,11+,12+,,,
15,HQ,Kelermorph,"6""",3+,2+,1,1,6,9+,1,4,,,,,,,"Folk Hero: If this unit successfully wounds an enemy unit with its Liberator Autostubs then, until the end of the turn, re-roll hit rolls of 1 for attacks made with ranged weapons by friendly <Cult> Infantry units whilst they are within 6"" of this unit.","Tyranids, Genestealer Cults, <Cult>
Light, Infantry, Character, Kelermorph",
15,,,,,,,,,,,,,,,,,,A Kelermorph is a unit that contains 1 model. It is equipped with: Liberator Autostubs; Cultist Knife.,,
15,,,,,,,,,,,,Liberator Autostubs,Small Arms,"12""",x2,8+,10+,,,
15,,,,,,,,,,,,Cultist Knife,Melee,Melee,User,11+,12+,,,
16,Elites,Nexos,"6""",3+,3+,1,1,6,10+,1,2,,,,,,,"Strategic Coordinator: If any friendly units with this ability are on the battlefield at the start of the Generate Command Assets step, you generate one extra Command Asset.","Tyranids, Genestealer Cults, <Cult>
Light, Infantry, Character, Nexos",
16,,,,,,,,,,,,,,,,,,A Nexos is a unit that contains 1 model. It is equipped with: Close Combat Weapons.,,
16,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,10+,10+,,,
17,Elites,Biophagus,"6""",3+,3+,1,1,6,10+,1,2,,,,,,,"Genomic Enhancement: At the start of the Action phase, you can enhance one friendly <Cult> Aberrant unit within 1"" of this unit. Add 1 to that unit's Attacks characteristic until the end of the battle. A unit can only be enhanced once per battle.","Tyranids, Genestealer Cults, <Cult>
Light, Infantry, Character, Biophagus",
17,,,,,,,,,,,,,,,,,,A Biophagus is a unit that contains 1 model. It is equipped with: Injector Goad.,,
17,,,,,,,,,,,,Injector Goad,Melee,Melee,User,5+,12+,,,
18,Fast,Jackal Alphus,"14""",3+,2+,1,1,6,10+,1,5,,,,,,,"Stealth
Priority Target Sighted: When this unit's Detachment is chosen to carry out an order, before any actions are made, select one enemy unit visible to and within 36"" of this unit. Until the end of the turn, add 1 to hit rolls for attacks made with ranged weapons by friendly <Cult> units whilst they are within 6"" of this unit if those attacks target the selected unit. An enemy unit can only be affected by this ability once per turn.","Tyranids, Genestealer Cults, <Cult>
Light, Biker, Character, Jackal Alphus",
18,,,,,,,,,,,,,,,,,,A Jackal Alphus is a unit that contains 1 model. It is equipped with: Jackal Sniper Rifle; Close Combat Weapons.,,
18,,,,,,,,,,,,Jackal Sniper Rifle,Small Arms,"36""",User,8+,8+,Sniper,,
18,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,10+,10+,,,
19,Fast,Atalan Jackals,"14""",4+,4+,1,2,6,10+,5,4,,,,,,,,"Tyranids, Genestealer Cults, <Cult>
Light, Biker, Atalan Jackals","per Unit (Power Rating 8): It can contain 8 models (Power Rating 8); per 2 models (Power Rating 12): 12 models (Power Rating 12); per model (Power Rating +1 per model): For every 4 models this unit contains, it can contain 1 Atalan Wolfquad model (Power Rating +1 per model); per Unit: For each Atalan Wolfquad model this unit contains, it must also be equipped with one of the following: 1 Atalan Incinerator; 1 Heavy Stubber; 1 Mining Laser."
19,,,"14""",4+,4+,2,4,6,10+,10,8,,,,,,,,,
19,,,"14""",4+,4+,3,6,6,10+,15,12,,,,,,,,,
19,,,,,,,,,,,,,,,,,,"Atalan Jackals are a unit that contains 4 models. It can contain 8 models (Power Rating 8) or 12 models (Power Rating 12). For every 4 models this unit contains, it can contain 1 Atalan Wolfquad model (Power Rating +1 per model). It is equipped with: Autopistols; Close Combat Weapons.",,
19,,,,,,,,,,,,,,,,,,"For each Atalan Wolfquad model this unit contains, it must also be equipped with one of the following: 1 Atalan Incinerator; 1 Heavy Stubber; 1 Mining Laser.",,
19,,,,,,,,,,,,Atalan Incinerator,Heavy,"12""",1,6+,9+,Inferno,,
19,,,,,,,,,,,,Heavy Stubber,Heavy,"36""",1,8+,10+,,,
19,,,,,,,,,,,,Mining Laser,Heavy,"36""",1,10+,6+,,,
19,,,,,,,,,,,,Autopistols,Small Arms,"12""",User,8+,10+,,,
19,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,8+,10+,,,
20,Fast,Achilles Ridgerunners,"14""",6+,4+,1,2,5,8+,1,6,,,,,,,Infiltrators,"Tyranids, Genestealer Cults, <Cult>
Heavy, Vehicle, Achilles Ridgerunners","per 2 models (Power Rating 12): It can contain 2 models (Power Rating 12); per 3 models (Power Rating 18): 3 models (Power Rating 18); per Unit: For each model this unit contains, it must also be equipped with one of the following: 1 Heavy Mining Laser; 1 Heavy Mortar; 1 Missile Launcher."
20,,,"14""",6+,4+,2,4,5,8+,2,12,,,,,,,,,
20,,,"14""",6+,4+,3,6,5,8+,3,18,,,,,,,,,
20,,,,,,,,,,,,,,,,,,Achilles Ridgerunners are a unit that contains 1 model. It can contain 2 models (Power Rating 12) or 3 models (Power Rating 18). It is equipped with: Heavy Stubbers; Close Combat Weapons.,,
20,,,,,,,,,,,,,,,,,,"For each model this unit contains, it must also be equipped with one of the following: 1 Heavy Mining Laser; 1 Heavy Mortar; 1 Missile Launcher.",,
20,,,,,,,,,,,,Heavy Mining Laser,Heavy,"36""",1,9+,5+,,,
20,,,,,,,,,,,,Heavy Mortar,Heavy,"48""",1,7+,9+,Barrage,,
20,,,,,,,,,,,,Heavy Stubbers,Heavy,"36""",x2,8+,10+,,,
20,,,,,,,,,,,,Missile Launcher,Heavy,"48""",1,7+,7+,,,
20,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,10+,10+,,,
21,Heavy,Cult Armoured Sentinels,"8""",4+,4+,1,1,5,6+,1,3,,,,,,,,"Tyranids, Genestealer Cults, Brood Brothers
Heavy, Vehicle, Cult Armoured Sentinels","per 2 models (Power Rating 6): It can contain 2 models (Power Rating 6); per 3 models (Power Rating 9): 3 models (Power Rating 9); per Unit: For each model this unit contains, it must also be equipped with one of the following: 1 Autocannon; 1 Heavy Flamer; 1 Lascannon; 1 Missile Launcher; 1 Multi-laser; 1 Plasma Cannon."
21,,,"8""",4+,4+,2,2,5,6+,2,6,,,,,,,,,
21,,,"8""",4+,4+,3,3,5,6+,3,9,,,,,,,,,
21,,,,,,,,,,,,,,,,,,Cult Armoured Sentinels is a unit that contains 1 model. It can contain 2 models (Power Rating 6) or 3 models (Power Rating 9). It is equipped with: Armoured Feet.,,
21,,,,,,,,,,,,,,,,,,"For each model this unit contains, it must also be equipped with one of the following: 1 Autocannon; 1 Heavy Flamer; 1 Lascannon; 1 Missile Launcher; 1 Multi-laser; 1 Plasma Cannon.",,
21,,,,,,,,,,,,Autocannon,Heavy,"48""",1,8+,8+,,,
21,,,,,,,,,,,,Heavy Flamer,Heavy,"8""",1,6+,9+,Inferno,,
21,,,,,,,,,,,,Lascannon,Heavy,"48""",1,10+,5+,,,
21,,,,,,,,,,,,Missile Launcher,Heavy,"48""",1,7+,7+,,,
21,,,,,,,,,,,,Multi-laser,Heavy,"36""",1,6+,10+,,,
21,,,,,,,,,,,,Plasma Cannon,Heavy,"36""",1,7+,7+,Supercharge,,
21,,,,,,,,,,,,Armoured Feet,Melee,Melee,User,11+,12+,,,
22,Heavy,Cult Scout Sentinels,"9""",4+,4+,1,1,5,8+,1,4,,,,,,,Infiltrators,"Tyranids, Genestealer Cults, Brood Brothers
Heavy, Vehicle, Cult Scout Sentinels","per 2 models (Power Rating 7): It can contain 2 models (Power Rating 7); per 3 models (Power Rating 10): 3 models (Power Rating 10); per Unit: For each model this unit contains, it must also be equipped with one of the following: 1 Autocannon; 1 Heavy Flamer; 1 Lascannon; 1 Missile Launcher; 1 Multi-laser."
22,,,"9""",4+,4+,2,2,5,8+,2,7,,,,,,,,,
22,,,"9""",4+,4+,3,3,5,8+,3,10,,,,,,,,,
22,,,,,,,,,,,,,,,,,,Cult Scout Sentinels is a unit that contains 1 model. It can contain 2 models (Power Rating 7) or 3 models (Power Rating 10). It is equipped with: Armoured Feet.,,
22,,,,,,,,,,,,,,,,,,"For each model this unit contains, it must also be equipped with one of the following: 1 Autocannon; 1 Heavy Flamer; 1 Lascannon; 1 Missile Launcher; 1 Multi-laser.",,
22,,,,,,,,,,,,Autocannon,Heavy,"48""",1,8+,8+,,,
22,,,,,,,,,,,,Heavy Flamer,Heavy,"8""",1,6+,9+,Inferno,,
22,,,,,,,,,,,,Lascannon,Heavy,"48""",1,10+,5+,,,
22,,,,,,,,,,,,Missile Launcher,Heavy,"48""",1,7+,7+,,,
22,,,,,,,,,,,,Multi-laser,Heavy,"36""",1,6+,10+,,,
22,,,,,,,,,,,,Armoured Feet,Melee,Melee,User,11+,12+,,,
23,Heavy,Brood Brothers Heavy Weapons Squad,"6""",4+,4+,1,1,5,10+,3,3,,,,,,,"Weapon Teams: For the purposes of determining what models a unit can transport, models in this unit are weapons team models.","Tyranids, Genestealer Cults, Brood Brothers
Light, Infantry, Brood Brothers Heavy Weapons Squad","per Unit: For each model this unit contains, it must also be equipped with one of the following: 1 Autocannon; 1 Heavy Bolter; 1 Lascannon; 1 Missile Launcher; 1 Mortar."
23,,,,,,,,,,,,,,,,,,A Brood Brothers Heavy Weapons Squad is a unit that contains 3 models. It is equipped with: Close Combat Weapons.,,
23,,,,,,,,,,,,,,,,,,"For each model this unit contains, it must also be equipped with one of the following: 1 Autocannon; 1 Heavy Bolter; 1 Lascannon; 1 Missile Launcher; 1 Mortar.",,
23,,,,,,,,,,,,Autocannon,Heavy,"48""",1,8+,8+,,,
23,,,,,,,,,,,,Heavy Bolter,Heavy,"36""",1,7+,9+,,,
23,,,,,,,,,,,,Lascannon,Heavy,"48""",1,10+,5+,,,
23,,,,,,,,,,,,Missile Launcher,Heavy,"48""",1,7+,7+,,,
23,,,,,,,,,,,,Mortar,Heavy,"48""",1,8+,10+,Barrage,,
23,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,8+,10+,,,
24,Heavy,Goliath Rockgrinder,"10""",4+,4+,1,2,5,8+,1,7,,,,,,,"Ignore Damage (6+)
TRANSPORT: This unit can transport up to 6 friendly <Cult> Infantry models. Each Patriarch model takes the space of 5 other Infantry models.","Tyranids, Genestealer Cults, <Cult>
Heavy, Vehicle, Transport, Goliath Rockgrinder","per Unit: Instead of 1 Heavy Mining Laser, this unit can be equipped with one of the following: 1 Clearance Incinerator; 1 Heavy Seismic Cannon."
24,,,,,,,,,,,,,,,,,,A Goliath Rockgrinder is a unit that contains 1 model. It is equipped with: Heavy Mining Laser; Heavy Stubber; Drilldozer Blade.,,
24,,,,,,,,,,,,,,,,,,"Instead of 1 Heavy Mining Laser, this unit can be equipped with one of the following: 1 Clearance Incinerator; 1 Heavy Seismic Cannon.",,
24,,,,,,,,,,,,Clearance Incinerator,Heavy,"12""",2,6+,9+,Inferno,,
24,,,,,,,,,,,,Heavy Mining Laser,Heavy,"36""",1,9+,5+,,,
24,,,,,,,,,,,,Heavy Seismic Cannon,Heavy,"24""",2,7+,7+,,,
24,,,,,,,,,,,,Heavy Stubber,Heavy,"36""",1,8+,10+,,,
24,,,,,,,,,,,,Drilldozer Blade,Melee,Melee,x2,7+,7+,,,
25,Heavy,Cult Leman Russ,"10""",6+,4+,1,2,5,6+,1,8,,,,,,,"Grinding Advance: When this unit makes a Shoot action, if it has remained stationary or moved a distance less than half its Move characteristic this turn, double the Attacks characteristic of its Battle Cannon, Eradicator Nova Cannon, Exterminator Autocannon and Vanquisher Battle Cannon for that action.","Tyranids, Genestealer Cults, Brood Brothers
Heavy, Vehicle, Cult Leman Russ","per Unit: Instead of 1 Battle Cannon, this unit can be equipped with one of the following: 1 Eradicator Nova Cannon; 1 Exterminator Autocannon; 1 Vanquisher Battle Cannon.; per Unit: Instead of 1 Heavy Bolter, this unit can be equipped with one of the following: 1 Heavy Flamer; 1 Lascannon.; per Unit (Power Rating +2): This unit can also be equipped with one of the following (Power Rating +2): 2 Heavy Bolters; 2 Heavy Flamers; 2 Multi-meltas; 2 Plasma Cannons.; per Unit (Power Rating +1): This unit can also be equipped with one of the following (Power Rating +1): 1 Heavy Stubber; 1 Storm Bolter."
25,,,,,,,,,,,,,,,,,,A Cult Leman Russ is a unit that contains 1 model. It is equipped with: Battle Cannon; Heavy Bolter; Grinding Tracks.,,
25,,,,,,,,,,,,,,,,,,"Instead of 1 Battle Cannon, this unit can be equipped with one of the following: 1 Eradicator Nova Cannon; 1 Exterminator Autocannon; 1 Vanquisher Battle Cannon.",,
25,,,,,,,,,,,,,,,,,,"Instead of 1 Heavy Bolter, this unit can be equipped with one of the following: 1 Heavy Flamer; 1 Lascannon.",,
25,,,,,,,,,,,,,,,,,,This unit can also be equipped with one of the following (Power Rating +2): 2 Heavy Bolters; 2 Heavy Flamers; 2 Multi-meltas; 2 Plasma Cannons.,,
25,,,,,,,,,,,,,,,,,,This unit can also be equipped with one of the following (Power Rating +1): 1 Heavy Stubber; 1 Storm Bolter.,,
25,,,,,,,,,,,,Battle Cannon,Heavy,"72""",1,6+,6+,,,
25,,,,,,,,,,,,Eradicator Nova Cannon,Heavy,"36""",2,5+,9+,,,
25,,,,,,,,,,,,Exterminator Autocannon,Heavy,"48""",2,6+,8+,,,
25,,,,,,,,,,,,Heavy Bolter,Heavy,"36""",1,7+,9+,,,
25,,,,,,,,,,,,Heavy Flamer,Heavy,"8""",1,6+,9+,Inferno,,
25,,,,,,,,,,,,Heavy Stubber,Heavy,"36""",1,8+,10+,,,
25,,,,,,,,,,,,Lascannon,Heavy,"48""",1,10+,5+,,,
25,,,,,,,,,,,,Multi-melta,Heavy,"24""",1,10+,4+,,,
25,,,,,,,,,,,,Plasma Cannon,Heavy,"36""",1,7+,7+,Supercharge,,
25,,,,,,,,,,,,Vanquisher Battle Cannon,Heavy,"72""",1,10+,4+,,,
25,,,,,,,,,,,,Storm Bolter,Small Arms,"24""",1,9+,10+,Rapid Fire,,
25,,,,,,,,,,,,Grinding Tracks,Melee,Melee,User,10+,10+,,,
26,Heavy,Goliath Truck,"12""",6+,4+,1,2,5,8+,1,6,,,,,,,"Open-topped, Ignore Damage (6+)
TRANSPORT: This unit can transport up to 10 friendly <Cult> Infantry models. Each Patriarch model takes the space of 5 other Infantry models.","Tyranids, Genestealer Cults, <Cult>
Heavy, Vehicle, Transport, Goliath Truck",
26,,,,,,,,,,,,,,,,,,A Goliath Truck is a unit that contains 1 model. It is equipped with: Heavy Stubber; Twin Autocannon; Tough Chassis.,,
26,,,,,,,,,,,,Heavy Stubber,Heavy,"36""",1,8+,10+,,,
26,,,,,,,,,,,,Twin Autocannon,Heavy,"48""",2,8+,8+,,,
26,,,,,,,,,,,,Tough Chassis,Melee,Melee,User,10+,10+,,,
27,Transport,Cult Chimera,"12""",6+,4+,1,2,5,6+,1,7,,,,,,,TRANSPORT: This unit can transport up to 12 friendly Brood Brothers Infantry models. Each weapons team model takes the space of 2 other Infantry models.,"Tyranids, Genestealer Cults, Brood Brothers
Heavy, Vehicle, Transport, Cult Chimera","per Unit: Instead of 1 Heavy Bolter, this unit can be equipped with 1 Heavy Flamer.; per Unit: Instead of 1 Multi-laser, this unit can be equipped with one of the following: 1 Heavy Bolter; 1 Heavy Flamer.; per Unit (Power Rating +1): This unit can also be equipped with one of the following (Power Rating +1): 1 Heavy Stubber; 1 Storm Bolter."
27,,,,,,,,,,,,,,,,,,A Cult Chimera is a unit that contains 1 model. It is equipped with: Heavy Bolter; 2 Lasgun Arrays; Multi-laser; Armoured Tracks.,,
27,,,,,,,,,,,,,,,,,,"Instead of 1 Heavy Bolter, this unit can be equipped with 1 Heavy Flamer.",,
27,,,,,,,,,,,,,,,,,,"Instead of 1 Multi-laser, this unit can be equipped with one of the following: 1 Heavy Bolter; 1 Heavy Flamer.",,
27,,,,,,,,,,,,,,,,,,This unit can also be equipped with one of the following (Power Rating +1): 1 Heavy Stubber; 1 Storm Bolter.,,
27,,,,,,,,,,,,Heavy Bolter,Heavy,"36""",1,7+,9+,,,
27,,,,,,,,,,,,Heavy Flamer,Heavy,"8""",1,6+,9+,Inferno,,
27,,,,,,,,,,,,Heavy Stubber,Heavy,"36""",1,8+,10+,,,
27,,,,,,,,,,,,Multi-laser,Heavy,"36""",1,6+,10+,,,
