No,Type,Name,M,WS,BS,A,W,Ld,Sv,N,Pt,Weapon,Type,Rng,A,SAP,SAT,Abilties,Keywords,Options
6,,,"6""",5+,4+,3,2,5,8+,12,7,,,,,,,,,
6,,,,,,,,,,,,,,,,,,A Strike Team is a unit that contains 5 models. It can contain 10 models (Power Rating 6) or 12 models (Power Rating 7). It is equipped with: Pulse Rifles; Close Combat Weapons.,,
6,,,,,,,,,,,,,,,,,,"This unit can have up to two of the following (Power Rating +1): Guardian Drone, Gun Drone, Marker Drone, Shield Drone.",,
6,,,,,,,,,,,,,,,,,,"- If this unit has a Guardian Drone, this unit has the following abilities: Ignore Damage (6+).",,
6,,,,,,,,,,,,,,,,,,"- If this unit has a Gun Drone, re-roll wound rolls of 1 for attacks made with ranged weapons by this unit.",,
6,,,,,,,,,,,,,,,,,,"- If this unit has a Marker Drone, re-roll hit rolls of 1 for attacks made with ranged weapons by this unit.",,
6,,,,,,,,,,,,,,,,,,"- If this unit has a Shield Drone, improve its Save characteristic by 1.",,
6,,,,,,,,,,,,Pulse Rifles,Small Arms,"30""",User,6+,9+,Rapid Fire,,
6,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,9+,10+,,,
7,Troops,Breacher Team,"6""",5+,4+,1,1,5,8+,5,3,,,,,,,,"T'au Empire, <Sept>
Light, Infantry, Breacher Team","per 10 models (Power Rating 6): It can contain 10 models (Power Rating 6); per Unit (Power Rating +1): This unit can have up to two of the following (Power Rating +1): Guardian Drone, Gun Drone, Marker Drone, Shield Drone."
7,,,"6""",5+,4+,2,2,5,8+,10,6,,,,,,,,,
7,,,,,,,,,,,,,,,,,,A Breacher Team is a unit that contains 5 models. It can contain 10 models (Power Rating 6). It is equipped with: Pulse Blasters; Close Combat Weapons.,,
7,,,,,,,,,,,,,,,,,,"This unit can have up to two of the following (Power Rating +1): Guardian Drone, Gun Drone, Marker Drone, Shield Drone.",,
7,,,,,,,,,,,,,,,,,,"- If this unit has a Guardian Drone, this unit has the following abilities: Ignore Damage (6+).",,
7,,,,,,,,,,,,,,,,,,"- If this unit has a Gun Drone, re-roll wound rolls of 1 for attacks made with ranged weapons by this unit.",,
7,,,,,,,,,,,,,,,,,,"- If this unit has a Marker Drone, re-roll hit rolls of 1 for attacks made with ranged weapons by this unit.",,
7,,,,,,,,,,,,,,,,,,"- If this unit has a Shield Drone, improve its Save characteristic by 1.",,
7,,,,,,,,,,,,Pulse Blasters,Small Arms,"15""",x2,5+,9+,,,
7,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,9+,10+,,,
8,Troops,Kroot Carnivores,"7""",3+,4+,1,2,4,10+,10,4,,,,,,,Infiltrators,"T'au Empire, Kroot
Light, Infantry, Kroot Carnivores",per 20 models (Power Rating 7): It can contain 20 models (Power Rating 7)
8,,,"7""",3+,4+,2,4,4,10+,20,7,,,,,,,,,
8,,,,,,,,,,,,,,,,,,Kroot Carnivores are a unit that contains 10 models. It can contain 20 models (Power Rating 7). It is equipped with: Kroot Rifles (Ranged); Kroot Rifles (Melee).,,
8,,,,,,,,,,,,Kroot Rifles (Ranged),Small Arms,"24""",User,7+,9+,Rapid Fire,,
8,,,,,,,,,,,,Kroot Rifles (Melee),Melee,Melee,x2,7+,9+,,,
9,Elites,XV25 Stealth Battlesuits,"8""",5+,4+,1,1,6,6+,3,6,,,,,,,"Infiltrators, Stealth","T'au Empire, <Sept>
Light, Battlesuit, Fly, Infantry, Jet Pack, XV25 Stealth Battlesuits","per 6 models (Power Rating 10): It can contain 6 models (Power Rating 10); per Unit (Power Rating +1): This unit can have up to two of the following (Power Rating +1): Gun Drone, Marker Drone, Shield Drone."
9,,,"8""",5+,4+,2,2,6,6+,6,10,,,,,,,,,
9,,,,,,,,,,,,,,,,,,XV25 Stealth Battlesuits are a unit that contains 3 models. It can contain 6 models (Power Rating 10). It is equipped with: Burst Cannons; Close Combat Weapons.,,
9,,,,,,,,,,,,,,,,,,"This unit can have up to two of the following (Power Rating +1): Gun Drone, Marker Drone, Shield Drone.",,
9,,,,,,,,,,,,,,,,,,"- If this unit has a Gun Drone, re-roll wound rolls of 1 for attacks made with ranged weapons by this unit.",,
9,,,,,,,,,,,,,,,,,,"- If this unit has a Marker Drone, re-roll hit rolls of 1 for attacks made with ranged weapons by this unit.",,
9,,,,,,,,,,,,,,,,,,"- If this unit has a Shield Drone, improve its Save characteristic by 1.",,
9,,,,,,,,,,,,Burst Cannons,Small Arms,"18""",x3,8+,9+,,,
9,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,7+,9+,,,
10,Elites,XV8 Crisis Battlesuits,"8""",5+,4+,1,2,6,6+,3,7,,,,,,,Deep Strike,"T'au Empire, <Sept>
Light, Battlesuit, Fly, Jet Pack, XV8 Crisis Battlesuits","per 6 models (Power Rating 13): It can contain 6 models (Power Rating 13); per 9 models (Power Rating 19): 9 models (Power Rating 19); per 3 models (Power Rating +1 per Burst Cannon, Cyclic Ion Blaster, Flamer and Plasma Rifle): For each 3 models this unit contains, it must be equipped with one of the following (Power Rating +1 per Burst Cannon, Cyclic Ion Blaster, Flamer and Plasma Rifle): 3 Airbursting Fragmentation Projectors; 3 Burst Cannons; 3 Cyclic Ion Blasters; 3 Flamers; 3 Fusion Blasters; 3 Missile Pods; 3 Plasma Rifles.; per 3 models (Power Rating +1 for each 3 models this unit contains): This unit can have up to two of the following (Power Rating +1 for each 3 models this unit contains): Gun Drones, Marker Drones, Shield Drones."
10,,,"8""",5+,4+,2,4,6,6+,6,13,,,,,,,,,
10,,,"8""",5+,4+,3,6,6,6+,9,19,,,,,,,,,
10,,,,,,,,,,,,,,,,,,XV8 Crisis Battlesuits are a unit that contains 3 models. It can contain 6 models (Power Rating 13) or 9 models (Power Rating 19). It is equipped with: Close Combat Weapons.,,
10,,,,,,,,,,,,,,,,,,"For each 3 models this unit contains, it must be equipped with one of the following (Power Rating +1 per Burst Cannon, Cyclic Ion Blaster, Flamer and Plasma Rifle): 3 Airbursting Fragmentation Projectors; 3 Burst Cannons; 3 Cyclic Ion Blasters; 3 Flamers; 3 Fusion Blasters; 3 Missile Pods; 3 Plasma Rifles.",,
10,,,,,,,,,,,,,,,,,,"This unit can have up to two of the following (Power Rating +1 for each 3 models this unit contains): Gun Drones, Marker Drones, Shield Drones.",,
10,,,,,,,,,,,,,,,,,,"- If this unit has Gun Drones, re-roll wound rolls of 1 for attacks made with ranged weapons by this unit.",,
10,,,,,,,,,,,,,,,,,,"- If this unit has Marker Drones, re-roll hit rolls of 1 for attacks made with ranged weapons by this unit.",,
10,,,,,,,,,,,,,,,,,,"- If this unit has Shield Drones, improve its Save characteristic by 1.",,
10,,,,,,,,,,,,Airbursting Fragmentation Projector,Heavy,"18""",1,8+,10+,Barrage,,
10,,,,,,,,,,,,Burst Cannon,Heavy,"18""",2,8+,9+,,,
10,,,,,,,,,,,,Cyclic Ion Blaster,Heavy,"18""",2,8+,8+,,,
10,,,,,,,,,,,,Flamer,Heavy,"8""",1,7+,10+,Inferno,,
10,,,,,,,,,,,,Fusion Blaster,Heavy,"18""",1,10+,4+,,,
10,,,,,,,,,,,,Missile Pod,Heavy,"36""",1,6+,8+,,,
10,,,,,,,,,,,,Plasma Rifle,Heavy,"24""",1,7+,7+,Rapid Fire,,
10,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,9+,10+,,,
11,Elites,XV8 Crisis Bodyguards,"8""",5+,4+,1,2,6,6+,3,8,,,,,,,"Deep Strike
Sworn Protectors: At the start of the Damage phase, you can select one friendly <Sept> Character unit that has at least one blast marker next to it and is within 6"" of this unit. Remove up to D3 blast markers from that Character unit and place them next to this unit.","T'au Empire, <Sept>
Light, Battlesuit, Fly, Jet Pack, XV8 Crisis Bodyguards","per 6 models (Power Rating 15): It can contain 6 models (Power Rating 15); per 9 models (Power Rating 22): 9 models (Power Rating 22); per 3 models (Power Rating +1 per Burst Cannon, Cyclic Ion Blaster, Flamer and Plasma Rifle): For each 3 models this unit contains, it must be equipped with one of the following (Power Rating +1 per Burst Cannon, Cyclic Ion Blaster, Flamer and Plasma Rifle): 3 Airbursting Fragmentation Projectors; 3 Burst Cannons; 3 Cyclic Ion Blasters; 3 Flamers; 3 Fusion Blasters; 3 Missile Pods; 3 Plasma Rifles.; per 3 models (Power Rating +1 for each 3 models this unit contains): This unit can have up to two of the following (Power Rating +1 for each 3 models this unit contains): Gun Drones, Marker Drones, Shield Drones."
11,,,"8""",5+,4+,2,4,6,6+,6,15,,,,,,,,,
11,,,"8""",5+,4+,3,6,6,6+,9,22,,,,,,,,,
11,,,,,,,,,,,,,,,,,,XV8 Crisis Bodyguards are a unit that contains 3 models. It can contain 6 models (Power Rating 15) or 9 models (Power Rating 22). It is equipped with: Close Combat Weapons.,,
11,,,,,,,,,,,,,,,,,,"For each 3 models this unit contains, it must be equipped with one of the following (Power Rating +1 per Burst Cannon, Cyclic Ion Blaster, Flamer and Plasma Rifle): 3 Airbursting Fragmentation Projectors; 3 Burst Cannons; 3 Cyclic Ion Blasters; 3 Flamers; 3 Fusion Blasters; 3 Missile Pods; 3 Plasma Rifles.",,
11,,,,,,,,,,,,,,,,,,"This unit can have up to two of the following (Power Rating +1 for each 3 models this unit contains): Gun Drones, Marker Drones, Shield Drones.",,
11,,,,,,,,,,,,,,,,,,"- If this unit has Gun Drones, re-roll wound rolls of 1 for attacks made with ranged weapons by this unit.",,
11,,,,,,,,,,,,,,,,,,"- If this unit has Marker Drones, re-roll hit rolls of 1 for attacks made with ranged weapons by this unit.",,
11,,,,,,,,,,,,,,,,,,"- If this unit has Shield Drones, improve its Save characteristic by 1.",,
11,,,,,,,,,,,,Airbursting Fragmentation Projector,Heavy,"18""",1,8+,10+,Barrage,,
11,,,,,,,,,,,,Burst Cannon,Heavy,"18""",2,8+,9+,,,
11,,,,,,,,,,,,Cyclic Ion Blaster,Heavy,"18""",2,8+,8+,,,
11,,,,,,,,,,,,Flamer,Heavy,"8""",1,7+,10+,Inferno,,
11,,,,,,,,,,,,Fusion Blaster,Heavy,"18""",1,11+,4+,,,
11,,,,,,,,,,,,Missile Pod,Heavy,"36""",1,6+,8+,,,
11,,,,,,,,,,,,Plasma Rifle,Heavy,"24""",1,7+,7+,Rapid Fire,,
11,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,9+,10+,,,
12,Elites,Pathfinder Team,"7""",5+,4+,1,1,5,8+,5,5,,,,,,,Infiltrators,"T'au Empire, <Sept>
Light, Infantry, Pathfinder Team","per 10 models (Power Rating 9): It can contain 10 models (Power Rating 9); per weapon (Power Rating +1 per weapon): This unit can also be equipped with up to three of the following in any combination (Power Rating +1 per weapon): 1 Ion Rifle; 1 Rail Rifle.; per Unit (Power Rating +1): This unit can have up to two of the following (Power Rating +1): Gun Drone, Marker Drone, Shield Drone.; per Unit (Power Rating +1): This unit can have a Recon Drone (Power Rating +1); per Unit (Power Rating +1): This unit can take up to two of the following (Power Rating +1): Grav-inhibitor Drone, Pulse Accelerator Drone."
12,,,"7""",5+,4+,2,2,5,8+,10,9,,,,,,,,,
12,,,,,,,,,,,,,,,,,,A Pathfinder Team is a unit that contains 5 models. It can contain 10 models (Power Rating 9). It is equipped with: Pulse Carbines; Close Combat Weapons.,,
12,,,,,,,,,,,,,,,,,,This unit can also be equipped with up to three of the following in any combination (Power Rating +1 per weapon): 1 Ion Rifle; 1 Rail Rifle.,,
12,,,,,,,,,,,,,,,,,,"This unit can have up to two of the following (Power Rating +1): Gun Drone, Marker Drone, Shield Drone.",,
12,,,,,,,,,,,,,,,,,,"- If this unit has a Gun Drone, re-roll wound rolls of 1 for attacks made with ranged weapons by this unit.",,
12,,,,,,,,,,,,,,,,,,"- If this unit has a Marker Drone, re-roll hit rolls of 1 for attacks made with ranged weapons by this unit.",,
12,,,,,,,,,,,,,,,,,,"- If this unit has a Shield Drone, improve its Save characteristic by 1.",,
12,,,,,,,,,,,,,,,,,,"This unit can have a Recon Drone (Power Rating +1). If this unit has a Recon Drone, it does not suffer the penalty for attacks made with ranged weapons that target obscured targets.",,
12,,,,,,,,,,,,,,,,,,"This unit can take up to two of the following (Power Rating +1): Grav-inhibitor Drone, Pulse Accelerator Drone.",,
12,,,,,,,,,,,,,,,,,,"- If an enemy unit starts a Move action within 3"" of any units accompanied by a Grav-inhibitor Drone, reduce its Movement characteristic by 2"" until that Move action is completed.",,
12,,,,,,,,,,,,,,,,,,"- If this unit has a Pulse Accelerator Drone, add 6"" to the range of its Pulse carbines.",,
12,,,,,,,,,,,,Ion Rifle,Heavy,"30""",1,6+,8+,Supercharge,,
12,,,,,,,,,,,,Pulse Carbines,Heavy,"18""",x2,6+,8+,,,
12,,,,,,,,,,,,Rail Rifle,Heavy,"30""",1,8+,6+,,,
12,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,9+,10+,,,
13,Elites,Firesight Marksman,"5""",5+,3+,1,1,5,8+,1,3,,,,,,,"Stealth
Drone Uplink: Add 1 to hit rolls for attacks made with ranged weapons by <Sept> MV71 Sniper Drones whilst they are within 6"" of any friendly units with this ability.","T'au Empire, <Sept>
Light, Infantry, Character, Firesight Marksman",
13,,,,,,,,,,,,,,,,,,A Firesight Marksman is a unit that contains 1 model. It is equipped with: Close Combat Weapons.,,
13,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,9+,10+,,,
14,Elites,Darkstrider,"7""",3+,2+,1,1,6,8+,1,5,,,,,,,"Infiltrators
Structural Analyser: Once per turn, after this unit makes a Shoot action, you can select one friendly Light T'au Sept unit within 6"" of this unit. Add 1 to wound rolls for attacks made with ranged weapons by that unit that target a unit targeted by this unit this turn.","T'au Empire, T'au Sept
Light, Infantry, Character, Darkstrider",
14,,,,,,,,,,,,,,,,,,Darkstrider is a unit that contains 1 model. It is equipped with: Pulse Carbine; Close Combat Weapons. You can only include one of this unit in your army.,,
14,,,,,,,,,,,,Pulse Carbine,Small Arms,"18""",User,9+,9+,,,
14,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,9+,10+,,,
15,Elites,Cadre Fireblade,"6""",3+,2+,1,1,6,8+,1,4,,,,,,,"Volley Fire: Add 1 to the Attacks characteristic of <Sept> units within 6"" of any friendly <Sept> Cadre Fireblades whilst they are making attacks with Pulse Carbines and Pulse Rifles that target a unit within half range of the weapon being used for that attack.","T'au Empire, <Sept>
Light, Infantry, Character, Cadre Fireblade","per Unit (Power Rating +1): This unit can have up to two of the following (Power Rating +1): Gun Drone, Marker Drone, Shield Drone."
15,,,,,,,,,,,,,,,,,,A Cadre Fireblade is a unit that contains 1 model. It is equipped with: Pulse Rifle; Close Combat Weapons.,,
15,,,,,,,,,,,,,,,,,,"This unit can have up to two of the following (Power Rating +1): Gun Drone, Marker Drone, Shield Drone.",,
15,,,,,,,,,,,,,,,,,,"- If this unit has a Gun Drone, re-roll wound rolls of 1 for attacks made with ranged weapons by this unit.",,
15,,,,,,,,,,,,,,,,,,"- If this unit has a Marker Drone, re-roll hit rolls of 1 for attacks made with ranged weapons by this unit.",,
15,,,,,,,,,,,,,,,,,,"- If this unit has a Shield Drone, improve its Save characteristic by 1.",,
15,,,,,,,,,,,,Pulse Rifle,Small Arms,"30""",User,9+,10+,Rapid Fire,,
15,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,10+,10+,,,
16,Elites,Kroot Shaper,"7""",3+,4+,1,1,5,10+,1,3,,,,,,,"Wisest of their Kind: Friendly Kroot units can use this unit's Leadership characteristic instead of their own whilst they are within 6"" of this unit.
The Shaper Commands: Re-roll wound rolls of 1 for attacks made by friendly Kroot units whilst they are within 6"" of this unit.","T'au Empire, Kroot
Light, Infantry, Character, Kroot Shaper",
16,,,,,,,,,,,,,,,,,,A Kroot Shaper is a unit that contains 1 model. It is equipped with: Ritual Blade.,,
16,,,,,,,,,,,,Ritual Blade,Melee,Melee,User,8+,9+,,,
17,Fast,TX4 Piranhas,"16""",6+,4+,1,1,4,8+,1,3,,,,,,,,"T'au Empire, <Sept>
Heavy, Vehicle, Fly, TX4 Piranhas","per 3 models (Power Rating 9): It can contain 3 models (Power Rating 9); per 5 models (Power Rating 15): 5 models (Power Rating 15); per Unit: For each model this unit contains, it must be equipped with one of the following: 1 Fusion Blaster; 1 Burst Cannon."
17,,,"16""",6+,4+,3,3,4,8+,3,9,,,,,,,,,
17,,,"16""",6+,4+,5,5,4,8+,5,15,,,,,,,,,
17,,,,,,,,,,,,,,,,,,TX4 Piranhas are a unit that contains 1 model. It can contain 3 models (Power Rating 9) or 5 models (Power Rating 15). It is equipped with: Pulse Carbines; Close Combat Weapons.,,
17,,,,,,,,,,,,,,,,,,"For each model this unit contains, it must be equipped with one of the following: 1 Fusion Blaster; 1 Burst Cannon.",,
17,,,,,,,,,,,,Burst Cannon,Heavy,"18""",2,8+,9+,,,
17,,,,,,,,,,,,Fusion Blaster,Heavy,"18""",1,10+,4+,,,
17,,,,,,,,,,,,Pulse Carbines,Heavy,"18""",x2,6+,8+,,,
17,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,10+,10+,,,
18,Fast,Vespid Stingwings,"14""",4+,4+,1,1,6,8+,4,5,,,,,,,Deep Strike,"T'au Empire, Vespid
Light, Infantry, Fly, Vespid Stingwings",per Unit (Power Rating 11): It can contain 8 models (Power Rating 11); per 2 models (Power Rating 16): 12 models (Power Rating 16)
18,,,"14""",4+,4+,2,2,6,8+,8,11,,,,,,,,,
18,,,"14""",4+,4+,3,3,6,8+,12,16,,,,,,,,,
18,,,,,,,,,,,,,,,,,,Vespid Stingwings are a unit that contains 4 models. It can contain 8 models (Power Rating 11) or 12 models (Power Rating 16). It is equipped with: Neutron Blasters; Close Combat Weapons.,,
18,,,,,,,,,,,,Neutron Blasters,Small Arms,"18""",User,6+,6+,,,
18,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,7+,9+,,,
19,Fast,Kroot Hounds,"12""",3+,-,1,1,4,10+,4,2,,,,,,,Voracious Predators: Add 1 to wound rolls for attacks made by this unit that target units that are not Vehicles and have any damage markers next to them.,"T'au Empire, Kroot
Light, Beasts, Kroot Hounds",per Unit (Power Rating 4): It can contain 8 models (Power Rating 4); per 2 models (Power Rating 6): 12 models (Power Rating 6)
19,,,"12""",3+,-,2,2,4,10+,8,4,,,,,,,,,
19,,,"12""",3+,-,3,3,4,10+,12,6,,,,,,,,,
19,,,,,,,,,,,,,,,,,,Kroot Hounds are a unit that contains 4 models. It can contain 8 models (Power Rating 4) or 12 models (Power Rating 6). It is equipped with: Ripping Fangs.,,
19,,,,,,,,,,,,Ripping Fangs,Melee,Melee,x2,7+,9+,,,
20,Fast,Tactical Drones,"8""",5+,5+,1,1,4,8+,4,3,,,,,,,"Deep Strike
Threat Identification Protocols: This unit must target the closest enemy unit when it makes a Shoot action. If more than one unit is equally close, select one of those units to target.","T'au Empire, <Sept>
Light, Drone, Fly, Tactical Drones","per Unit (Power Rating 5): It can contain 8 models (Power Rating 5); per 2 models (Power Rating 7): 12 models (Power Rating 7); per 4 models (Power Rating +1 for each 4 models this unit contains): This unit can have up to two of the following (Power Rating +1 for each 4 models this unit contains): Gun Drones, Marker Drones, Shield Drones."
