No,Type,Name,M,WS,BS,A,W,Ld,Sv,N,Pt,Weapon,Type,Rng,A,SAP,SAT,Abilties,Keywords,Options
10,Elites,Burna Boyz,"5""",3+,5+,1,1,4,10+,5,3,,,,,,,,"Orks, <Clan>
Light, Infantry, Burna Boyz ",
10,,,"5""",3+,5+,2,2,5,10+,10,6,,,,,,,,,
10,,,"5""",3+,5+,3,3,6,10+,15,9,,,,,,,,,
10,,,,,,,,,,,,Burna (Ranged),Small Arms,"8""",x3,7+,9+,Inferno,,
10,,,,,,,,,,,,Burna (Melee),Melee,Melee,x2,7+,9+,,,
11,Elites,Tankbustaz,"5""",3+,5+,1,1,5,10+,5,3,,,,,,,"Bomb Squigs: Once per battle, after this unit makes a Shoot action, select one enemy Vehicle unit (other than an Aircraft) within 18"" of this unit and roll one D6. On a 4+ place one blast marker next to that unit.
Tank Hunters: You can re-roll hit rolls for attacks made by this unit that target Vehicle units.","Orks, <Clan>
Light, Infantry, Tankbustas",
11,,,"5""",3+,5+,2,2,6,10+,10,6,,,,,,,,,
11,,,"5""",3+,5+,3,3,7,10+,15,9,,,,,,,,,
11,,,,,,,,,,,,Tankbusta Rokkit Launchas,Small Arms,"24""",x2,7+,7+,,,
11,,,,,,,,,,,,Tankbusta Weapons,Melee,Melee,x2,7+,7+,,,
12,Elites,Nobz,"5""",3+,5+,1,2,5,8+,5,6,,,,,,,,"Orks, <Clan>
Light, Infantry, Nobz ",
12,,,"5""",3+,5+,2,4,6,8+,10,12,,,,,,,,,
12,,,,,,,,,,,,Sluggas,Small Arms,"12""",x2,7+,9+,,,
12,,,,,,,,,,,,Nob Choppas,Melee,Melee,x3,6+,6+,,,
13,Elites,Nobz w Waaagh! Banner,"5""",3+,5+,1,1,4,8+,1,3,,,,,,,"Waaagh! Banner: Add 1 to hit rolls for attacks made with melee weapons by <Clan> units whilst they are within 6"" of any friendly <Clan> units with this ability.","Orks, <Clan>
Light, Infantry, Character, Nob",
13,,,,,,,,,,,,Waaagh! Banner,Melee,Melee,User,8+,8+,,,
14,Elites,Meganobz,"4""",3+,5+,1,2,5,4+,3,6,,,,,,,,"Orks, <Clan>
Light, Infantry, Mega Armour, Nobz, Meganobz",
14,,,"4""",3+,5+,2,4,6,4+,6,12,,,,,,,,,
14,,,"4""",3+,5+,3,6,7,4+,9,18,,,,,,,,,
14,,,,,,,,,,,,Meganob Shootas,Small Arms,"12""",x3,7+,9+,,,
14,,,,,,,,,,,,Meganob Melee Weapons,Melee,Melee,x2,6+,6+,,,
15,Elites,Kommandos,"6""",3+,5+,1,1,5,10+,5,3,,,,,,,Deep Strike,"Orks, <Clan>
Light, Infantry, Kommandos",per Unit (Power Rating +1 per Kommando Burna): This unit can also be equipped with up to two of the following (Power Rating +1 per Kommando Burna): 1 Big Shoota; 1 Kommando Burna; 1 Rokkit Launcha.
15,,,"6""",3+,5+,2,2,6,10+,10,6,,,,,,,,,
15,,,"6""",3+,5+,3,3,7,10+,15,9,,,,,,,,,
15,,,,,,,,,,,,,,,,,,This unit can also be equipped with up to two of the following (Power Rating +1 per Kommando Burna): 1 Big Shoota; 1 Kommando Burna; 1 Rokkit Launcha.,,
15,,,,,,,,,,,,Kommando Sluggas,Small Arms,"12""",User,7+,9+,,,
15,,,,,,,,,,,,Kommando Choppas,Melee,Melee,User,7+,9+,,,
15,,,,,,,,,,,,Big Shoota,Heavy,"36""",1,7+,9+,,,
15,,,,,,,,,,,,Kommando Burna,Heavy,"8""",1,7+,9+,Inferno,,
15,,,,,,,,,,,,Rokkit Launcha,Heavy,"24""",1,7+,7+,,,
16,Fast,Nobz On Bikes,"14""",3+,5+,1,2,5,8+,3,7,,,,,,,,"Orks, <Clan>
Light, Biker, Speed Freeks, Nobz ",
16,,,"14""",3+,5+,2,4,6,8+,6,14,,,,,,,,,
16,,,"14""",3+,5+,3,6,7,8+,9,21,,,,,,,,,
16,,,,,,,,,,,,Dakka Guns,Small Arms,"18""",x3,7+,9+,,,
16,,,,,,,,,,,,Nob Choppas,Melee,Melee,x2,6+,6+,,,
17,Fast,Warbikers,"14""",3+,5+,1,1,5,7+,3,4,,,,,,,,"Orks, <Clan>
Light, Biker, Speed Freeks, Warbikers",
17,,,"14""",3+,5+,2,2,6,7+,6,8,,,,,,,,,
17,,,"14""",3+,5+,3,3,7,7+,9,12,,,,,,,,,
17,,,"14""",3+,5+,4,4,8,7+,12,16,,,,,,,,,
17,,,,,,,,,,,,Dakka Guns,Small Arms,"18""",x3,7+,9+,,,
17,,,,,,,,,,,,Nob Choppas,Melee,Melee,x2,7+,9+,,,
18,Fast,Warbuggies,"12""",4+,5+,1,2,4,8+,1,5,,,,,,,"Ram: After this unit makes a Move action, if it is in base contact with any enemy units, select one of those units and roll one D6. On a 5+ place one blast marker next to that unit.
 ","Orks, <Clan>
Heavy, Vehicle, Speed Freeks, Kustom Boosta-blastas",
18,,,"12""",4+,5+,2,4,4,8+,2,10,,,,,,,,,
18,,,"12""",4+,5+,3,6,4,8+,3,15,,,,,,,,,
18,,,,,,,,,,,,Burna Exhaust,Heavy,"8""",User,7+,9+,Inferno,,
18,,,,,,,,,,,,Rivet Kannons,Heavy,"36""",x2,6+,7+,,,
18,,,,,,,,,,,,Spiked Rams,Melee,Melee,User,10+,10+,,,
18,,,,,,,,,,,,Nose Drills,Melee,Melee,User,7+,7+,,"Orks, <Clan>
Heavy, Vehicle, Speed Freeks, Shokkjump Dragstas",
18,,,,,,,,,,,,Kustom Shokk Rifles,Small Arms,"24""",User,9+,5+,Supercharge,,
19,Fast,Stormboyz,"14""",3+,5+,1,1,5,10+,5,4,,,,,,,Deep Strike,"Orks, <Clan>
Light, Infantry, Fly, Jump Pack, Stormboyz",
19,,,"14""",3+,5+,2,2,5,10+,10,7,,,,,,,,,
19,,,"14""",3+,5+,4,4,6,10+,20,13,,,,,,,,,
19,,,"14""",3+,5+,6,6,7,10+,30,19,,,,,,,,,
19,,,,,,,,,,,,Stormboy Sluggas,Small Arms,"12""",User,7+,9+,,,
19,,,,,,,,,,,,Stormboy Choppas,Melee,Melee,User,7+,9+,,,
20,Fast,Deffkoptas,"14""",3+,5+,1,1,4,10+,1,4,,,,,,,Deep Strike,"Orks, <Clan>
Heavy, Vehicle, Fly, Speed Freeks, Deffkoptas","per Unit: For each model this unit contains, it must be equipped with one of the following: Kopta Rokkits; 1 Twin Big Shoota."
20,,,"14""",3+,5+,2,2,4,10+,2,7,,,,,,,,,
20,,,"14""",3+,5+,3,3,4,10+,3,10,,,,,,,,,
20,,,,,,,,,,,,,,,,,," For each model this unit contains, it must be equipped with one of the following: Kopta Rokkits; 1 Twin Big Shoota.",,
20,,,,,,,,,,,,Twin Big Shootas,Heavy,"12""",2,7+,9+,,,
20,,,,,,,,,,,,Kopta Rokkits,Small Arms,"24""",1,7+,7+,,,
20,,,,,,,,,,,,Spinnin' Blades,Melee,Melee,x2,7+,9+,,,
21,Heavy,Mek Gun,"14""",3+,5+,1,1,4,10+,1,4,,,,,,,Deep Strike,"Orks, <Clan>
Heavy, Vehicle, Fly, Speed Freeks, Deffkoptas",
21,,,,,,,,,,,,Twin Big Shootas,Heavy,"12""",2,7+,9+,,,
21,,,,,,,,,,,,Kopta Rokkits,Small Arms,"24""",1,7+,7+,,,
21,,,,,,,,,,,,Spinnin' Blades,Melee,Melee,x2,7+,9+,,,
21,,,,,,,,,,,,Stormboy Choppas,Melee,Melee,User,7+,9+,,,
21,,,,,,,,,,,,Stormboy Choppas,Melee,Melee,User,7+,9+,,,
21,,,,,,,,,,,,Stormboy Choppas,Melee,Melee,User,7+,9+,,,
22,Heavy,Battlewagon,"14""",3+,5+,1,1,4,10+,1,4,,,,,,,Deep Strike,"Orks, <Clan>
Heavy, Vehicle, Fly, Speed Freeks, Deffkoptas",
22,,,,,,,,,,,,Twin Big Shootas,Heavy,"12""",2,7+,9+,,,
22,,,,,,,,,,,,Kopta Rokkits,Small Arms,"24""",1,7+,7+,,,
22,,,,,,,,,,,,Spinnin' Blades,Melee,Melee,x2,7+,9+,,,
22,,,,,,,,,,,,Stormboy Choppas,Melee,Melee,User,7+,9+,,,
22,,,,,,,,,,,,Stormboy Choppas,Melee,Melee,User,7+,9+,,,
22,,,,,,,,,,,,Stormboy Choppas,Melee,Melee,User,7+,9+,,,
23,Heavy,Killa Kans,"14""",3+,5+,1,1,4,10+,1,4,,,,,,,Deep Strike,"Orks, <Clan>
Heavy, Vehicle, Fly, Speed Freeks, Deffkoptas",
23,,,,,,,,,,,,Twin Big Shootas,Heavy,"12""",2,7+,9+,,,
23,,,,,,,,,,,,Kopta Rokkits,Small Arms,"24""",1,7+,7+,,,
23,,,,,,,,,,,,Spinnin' Blades,Melee,Melee,x2,7+,9+,,,
23,,,,,,,,,,,,Stormboy Choppas,Melee,Melee,User,7+,9+,,,
24,Heavy,Deff Dread,"14""",3+,5+,1,1,4,10+,1,4,,,,,,,Deep Strike,"Orks, <Clan>
Heavy, Vehicle, Fly, Speed Freeks, Deffkoptas",
24,,,,,,,,,,,,Twin Big Shootas,Heavy,"12""",2,7+,9+,,,
24,,,,,,,,,,,,Kopta Rokkits,Small Arms,"24""",1,7+,7+,,,
24,,,,,,,,,,,,Spinnin' Blades,Melee,Melee,x2,7+,9+,,,
24,,,,,,,,,,,,Stormboy Choppas,Melee,Melee,User,7+,9+,,,
25,Heavy,Lootas,"14""",3+,5+,1,1,4,10+,1,4,,,,,,,Deep Strike,"Orks, <Clan>
Heavy, Vehicle, Fly, Speed Freeks, Deffkoptas",
25,,,,,,,,,,,,Twin Big Shootas,Heavy,"12""",2,7+,9+,,,
25,,,,,,,,,,,,Kopta Rokkits,Small Arms,"24""",1,7+,7+,,,
26,Heavy,Flash Gits,"14""",3+,5+,1,1,4,10+,1,4,,,,,,,Deep Strike,,
26,,,,,,,,,,,,Twin Big Shootas,Heavy,"12""",2,7+,9+,,,
26,,,,,,,,,,,,Kopta Rokkits,Small Arms,"24""",1,7+,7+,,,
27,Lord,Morkanaut,"14""",3+,5+,1,1,4,10+,1,4,,,,,,,Deep Strike,,
27,,,,,,,,,,,,Twin Big Shootas,Heavy,"12""",2,7+,9+,,,
27,,,,,,,,,,,,Kopta Rokkits,Small Arms,"24""",1,7+,7+,,,
27,,,,,,,,,,,,Spinnin' Blades,Melee,Melee,x2,7+,9+,,,
27,,,,,,,,,,,,Stormboy Choppas,Melee,Melee,User,7+,9+,,,
28,Lord,Gorkanaut,"14""",3+,5+,1,1,4,10+,1,4,,,,,,,Deep Strike,,
28,,,,,,,,,,,,Twin Big Shootas,Heavy,"12""",2,7+,9+,,,
28,,,,,,,,,,,,Kopta Rokkits,Small Arms,"24""",1,7+,7+,,,
28,,,,,,,,,,,,Spinnin' Blades,Melee,Melee,x2,7+,9+,,,
28,,,,,,,,,,,,Stormboy Choppas,Melee,Melee,User,7+,9+,,,
29,Transport,Trukk,"14""",3+,5+,1,1,4,10+,1,4,,,,,,,Deep Strike,,
29,,,,,,,,,,,,Twin Big Shootas,Heavy,"12""",2,7+,9+,,,
29,,,,,,,,,,,,Kopta Rokkits,Small Arms,"24""",1,7+,7+,,,
29,,,,,,,,,,,,Spinnin' Blades,Melee,Melee,x2,7+,9+,,,
29,,,,,,,,,,,,Stormboy Choppas,Melee,Melee,User,7+,9+,,,
30,Air,Dakka Jet,"14""",3+,5+,1,1,4,10+,1,4,,,,,,,Deep Strike,,
30,,,,,,,,,,,,Twin Big Shootas,Heavy,"12""",2,7+,9+,,,
30,,,,,,,,,,,,Kopta Rokkits,Small Arms,"24""",1,7+,7+,,,
30,,,,,,,,,,,,Spinnin' Blades,Melee,Melee,x2,7+,9+,,,
31,Air,Bomba,"14""",3+,5+,1,1,4,10+,1,4,,,,,,,Deep Strike,,
31,,,,,,,,,,,,Twin Big Shootas,Heavy,"12""",2,7+,9+,,,
31,,,,,,,,,,,,Kopta Rokkits,Small Arms,"24""",1,7+,7+,,,
31,,,,,,,,,,,,Spinnin' Blades,Melee,Melee,x2,7+,9+,,,
32,Lord,Stompa,"14""",3+,5+,1,1,4,10+,1,4,,,,,,,Deep Strike,,
32,,,,,,,,,,,,Twin Big Shootas,Heavy,"12""",2,7+,9+,,,
32,,,,,,,,,,,,Kopta Rokkits,Small Arms,"24""",1,7+,7+,,,
32,,,,,,,,,,,,Spinnin' Blades,Melee,Melee,x2,7+,9+,,,
32,,,,,,,,,,,,Stormboy Choppas,Melee,Melee,User,7+,9+,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
