No,Type,Name,M,WS,BS,A,W,Ld,Sv,N,Pt,Weapon,Type,Rng,A,SAP,SAT,Abilties,Keywords,Options
27,Heavy,Castigator,"12""",6+,3+,1,2,5,6+,1,6,,,,,,,,"Imperium, Adeptus Ministorum, Adepta Sororitas, <Order>
Heavy, Vehicle, Castigator","per Unit: Instead of 1 Castigator Autocannons, this unit can be equipped with 1 Castigator Battle Cannon."
27,,,,,,,,,,,,,,,,,,A Castigator is a unit that contains 1 model. It is equipped with: Castigator Autocannons; 3 Heavy Bolters; Armoured Tracks.,,
27,,,,,,,,,,,,,,,,,,"Instead of 1 Castigator Autocannons, this unit can be equipped with 1 Castigator Battle Cannon.",,
27,,,,,,,,,,,,Castigator Autocannons,Heavy,"48""",2,5+,6+,Rapid Fire,,
27,,,,,,,,,,,,Castigator Battle Cannon,Heavy,"48""",1,6+,7+,,,
27,,,,,,,,,,,,Heavy Bolter,Heavy,"36""",1,7+,9+,,,
27,,,,,,,,,,,,Armoured Tracks,Melee,Melee,User,10+,10+,,,
28,Heavy,Paragon Warsuits,"8""",3+,3+,3,3,6,5+,3,9,,,,,,,Righteous Paragons: Re-roll hit rolls of 1 for attacks made by this unit that target Heavy or Super-heavy units.,"Imperium, Adeptus Ministorum, Adepta Sororitas
Heavy, Vehicle, Walker, Paragon Warsuits",per model (Power Rating +1 per model): Any model can have its Heavy Bolter replaced with 1 Multi-melta (Power Rating +1 per model).
28,,,,,,,,,,,,,,,,,,Paragon Warsuits is a unit that contains 3 models. Every model is equipped with: Heavy Bolter; Paragon Storm Bolters; Paragon War Blade.,,
28,,,,,,,,,,,,,,,,,,Any model can have its Heavy Bolter replaced with 1 Multi-melta (Power Rating +1 per model).,,
28,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,Heavy Bolter,Heavy,"36""",1,7+,9+,,,
28,,,,,,,,,,,,Paragon Storm Bolters,Small Arms,"24""",User,7+,10+,Rapid Fire,,
28,,,,,,,,,,,,Multi-melta,Heavy,"24""",1,10+,4+,,,
28,,,,,,,,,,,,Paragon War Blade,Melee,Melee,User,6+,6+,,,
29,Transport,Immolator,"12""",6+,3+,1,2,6,6+,1,5,,,,,,,"TRANSPORT: This unit can transport up to 6 friendly Adeptus Ministorum Infantry models. It cannot transport Jump Pack models and can only transport Adepta Sororitas models if they have the <Order>, Dialogus or Hospitaller keyword.","Imperium, Adeptus Ministorum, Adepta Sororitas, <Order>
Heavy, Vehicle, Transport, Immolator","per Unit: Instead of 1 Immolation Flamer, this unit can be equipped with one of the following: 1 Twin Heavy Bolter; 1 Twin Multi-melta."
29,,,,,,,,,,,,,,,,,,"Instead of 1 Immolation Flamer, this unit can be equipped with one of the following: 1 Twin Heavy Bolter; 1 Twin Multi-melta.",,
29,,,,,,,,,,,,Immolation Flamer,Heavy,"12""",2,6+,9+,Inferno,,
29,,,,,,,,,,,,Twin Heavy Bolter,Heavy,"36""",2,7+,9+,,,
29,,,,,,,,,,,,Twin Multi-melta,Heavy,"24""",2,10+,4+,,,
29,,,,,,,,,,,,Armoured Tracks,Melee,Melee,User,10+,10+,,,
30,Transport,Sororitas Rhino,"12""",6+,3+,1,2,6,6+,1,5,,,,,,,"TRANSPORT: This unit can transport up to 10 friendly Adeptus Ministorum Infantry models. It cannot transport Jump Pack models and can only transport Adepta Sororitas models if they have the <Order>, Dialogus or Hospitaller keyword.","Imperium, Adeptus Ministorum, Adepta Sororitas, <Order>
Heavy, Vehicle, Transport, Rhino, Sororitas Rhino",
30,,,,,,,,,,,,Storm Bolter,Small Arms,"24""",1,9+,10+,Rapid Fire,,
30,,,,,,,,,,,,Armoured Tracks,Melee,Melee,User,10+,10+,,,
31,Transport,Repressor,"12""",6+,3+,1,2,6,6+,1,7,,,,,,,"TRANSPORT: This unit can transport up to 10 friendly Adeptus Ministorum Infantry models. It cannot transport Jump Pack models and can only transport Adepta Sororitas models if they have the <Order>, Dialogus or Hospitaller keyword.","Imperium, Adeptus Ministorum, Adepta Sororitas, <Order>
Heavy, Vehicle, Transport, Repressor",
31,,,,,,,,,,,,,,,,,,A Repressor is a unit that contains 1 model. It is equipped with: Twin Heavy Flamer; Storm Bolter; Dozer Ram.,,
31,,,,,,,,,,,,Twin Heavy Flamer,Heavy,"8""",2,7+,10+,Inferno,,
31,,,,,,,,,,,,Storm Bolter,Small Arms,"24""",1,9+,10+,Rapid Fire,,
31,,,,,,,,,,,,Dozer Ram,Melee,Melee,User,9+,10+,,,
32,Lord,Celestine & Geminae,"12""",2+,2+,3,4,7,4+,3,14,,,,,,,"Beacon of Faith: Improve the Save characteristic (to a maximum of 3+) of friendly Adepta Sororitas units by 1 whilst they are wholly within 6"" of this unit.
Miraculous Intervention: The first time the number of damage markers next to this unit equals its Wounds characteristic, roll a D6; on a 2+ this unit is not destroyed, and one damage marker is removed from it.
Lifewards: At the start of the Damage phase, Remove up to D3 blast markers from this Character.","Imperium, Adeptus Ministorum, Adepta Sororitas
Light, Infantry, Fly, Character, Jump Pack, Celestine, Geminae Superia",
32,,,,,,,,,,,,,,,,,,Celestine & Geminae is a unit that contains 3 models: 1 Celestine and 2 Geminae Superia. You can only include one of this unit in your army.,,
32,,,,,,,,,,,,The Ardent Blade (Ranged),Heavy,"8""",1,6+,9+,Inferno,,
32,,,,,,,,,,,,Ardent Blades,Melee,Melee,User,7+,7+,,,
