Set,Nm,Fac,Fac Nm,Name,Type,SubType,Cst,Atk,Life,Sh,Abilities1,Abilities2
C2,49,Sisters of Battle,14,Stoic Endurance,Valorous hearth,,,,,,Use at the start of the Damage phase. Up to 3 Order of the Valorous heart units gain the Ignore Damage (5+) ability.  Then remove this card from the game.,
C2,50,Necrons,1,Star Pulse,Necrons,,,,,,"Use in the action phase. Select 1 Necron Warlord and a point visible to that warlord. Roll a D12 for up to 3 units within 6” of that point, subtracting 2 if the unit is a light character, and adding 2 if it is Super-Heavy or is garrisoning a Defensibel Terrain Feature. On a 8+, place a blast market next to the unit.",
C2,51,Necrons,2,Entropic Plague,Necrons,,,,,,Use at the start of the damage phase. Select 1 enemy unit with 12” of one of your Necron units.  Halve the result of saving throws made for that enemy unit. This effect lasts until the enemy unit succeeds on a saving throw in a damage phase.,
C2,52,Necrons,3,Resurrection Orb,Necrons,,,,,,"Use in action phase. Select up to 2 Light Necron units within 6” of a Lord, Overlord, or Destroyer Lord. Remove up to d3 damage markers from that unit.",
C2,53,Necrons,4,Reconstitution Protocols,Necrons,,,,,,Use in action phase. Select a Necron unit. remove up to d3 damage markers from that unit.,
C2,54,Necrons,5,Stellar Alignment protocols,Necrons,,,,,,Use in action phase. A Necron unit acts as if it is at full strength until the end of the turn.,
C2,55,Necrons,6,Self Destruction,Necrons,Scarabs,,,,,"Use when Scarabs make a fight action. Select 1 enemy unit in base contact. Roll a D12 for each model in that scarabs unit. On a 3-7, place a blast marker next to the enemy. On an 8+ place 2 blast markers instead. The Scarabs unit is then destroyed.",
C2,56,Necrons,7,Cosmic Fire,C'tan,,,,,,"Use in the action phase. Select 1 C'tan Shard unit and roll a d12 for each enemy within 9”, adding 1 to the result if the C'tan is Titanic. On a 7+, place a blast marker next to the unit.",
C2,57,Necrons,8,Antimatter Meteor,C'tan,,,,,,"Use in the action phase. Select 1 C'tan Shard and roll a D12. Add 4 to the roll if it is titanic. On a 2-8, place  blast marker next to the enemy unit. On a 9-11, place 2 next to the unit. On a 12-14, place 3 blast markers, and on 15-16 place 4.",
C2,58,Necrons,9,Sky of Falling Stars,C'tan,,,,,,"Use in the action phase. Select 1 C'tan shard and 3 units with 3+ models within 24” of the C'tan. Roll a D12 for each of those unit, adding 3 if the C'tan is Titanic, and 2 if the unit has 10+ models. If the number is 7+, place a blast marker next to the unit.",
C2,59,Necrons,10,Solar Fury,Mephrit,,,,,,"Use in the action phase. Until the end of the turn, select 1 detachment led by a Mephrit commander. Mephrit units add 1 to wound rolls for attacks made by ranged weapons within 1/2 the weapon's range for this phase.",
C2,60,Necrons,11,Awakened By Murder,Novokh,,,,,,"Use in the action phase. Select 1 Detachment lead by a Novokh Commander. Until the end of the turn, reroll hit rolls for attacks made with melee weapons by Novokh units.",
C2,61,Necrons,12,Reclaim a Lost Empire,Nihilakh,,,,,,"Use in any phase. Nihilakh units of a selected detachment with a Nihilakh commander gains the Objective Secured ability until the end of the turn. This turn, a Nihilakh Warlord in that detachment can roll a D12 instead of a D6 for one Armour Save roll.",
C2,62,Necrons,13,Methodical Destruction,Sautekh,,,,,,"Use in the action phase. Select 1 enemy unit. Until the end of the turn, add 1 to hit rolls for Sautekh units targeting that unit.",
C2,63,Necrons,14,Translocation Beams,Nephrekh,,,,,,"Select a detachment led by a Nephrekh Commander. The detachment's order is replaced with 'Assault', and Nephrekh units in the detachment add 5” to their move after doubling it and move as if they could Fly, but cannot end in base contact with enemy units.",
C2,64,Tyranids,1,Adapted to Kill,Tyranids,,,,,,"Use in the Action Phase. Select one Tyranid unit. Until the end of the turn, re-roll hit and wound rolls by that unit, and re-roll saving throws and morale test for that unit.",
C2,65,Tyranids,2,Adrenal Glands,Tyranids,,,,,,Use in the action phase. Select one Tyranid Detachment lead by a Tyranid Commander. Up to 3 Tyranid units in that detachment may make a free action.,
C2,66,Tyranids,3,Sporefield,Tyranids,,,,,,"Use in the action phase. Select on Tyranid Warlord, and select a point visible to that unit. Roll a D12 for each unit within 9” of it, subtracting 2 from the roll of the unit if it is a Light character or Tyranids unit.  On a 7+, place a blast marker next to it.",
C2,67,Tyranids,4,Instinctive Behavior,Tyranids,,,,,,"Use in the Action or Damage phase. Select 1 Tyranid unit that is Out of Command. Until the end of the turn, they do not count as Out of Command, and they add 1 to hit and wound rolls.",
C2,68,Tyranids,5,Endless Swarm,Tyranids,Light,,,,,"Use in the Reinforcements Step. Select one Tyranid Light unit that was destroyed, and roll D12 and add 4. If the result is greater than the Power of the unit, it is returned to the field within 9” of a field edge, and more than 9” from any enemy units, as a new Detachment. Otherwise return this card to your hand and you can't use it this turn.",
C2,69,Tyranids,6,Shadow in the Warp,Tyranids,,,,,,"Use when an opponent uses a Psychic power, before its effects are resolved, if at least one Tyranid Synapse unit is on the battlefied. Roll a D12. On a 3+, the effects of that Command Asset are not resolved.",
C2,70,Tyranids,7,The Horror,Tyranids,Psychic,,,,,"Use in the Damage phase. Choose a Tyranid Psyker unit, and roll a D12. On a 2+, units within 24” of the psyker subtract 2 from their leadership characterstic.",
C2,71,Tyranids,8,Catalyst,Tyranids,Psychic,,,,,"Use in the Damage phase. Select a Tyranid Psyker unit and roll a D12. On a 2+, that unit gains Ignore Damage (4+). On a 12+, they gain Ignore Damage (3+) instead.",
C2,72,Tyranids,9,Hyper Aggression,Behemoth,,,,,,"Use when selecting a detachment led by a Behemoth Commander to carry out an order.  Replace their order with Assault, and until the end of the phase, Behemoth units in that detachment add 1 to hit rolls for attacks using melee weapons.",
C2,73,Tyranids,10,Questing Tendrils,Kraken,,,,,,"Use when selecting a detachment led by a Kraken Commander to carry out an order.  Replace their order with Assault, and until the end of the phase, Kraken units in that detachment triple their move instead of doubling them.",
C2,74,Tyranids,11,Synaptic Imperative ,Leviathan,,,,,,"Use at the start of the Damage phase. Select a detachment led by a Leviathan Commander.  Until the end of the phase, Leviathan units in that detachment gain Ignore Damage (5+).",
C2,75,Tyranids,12,Adaptive Toxins,Gorgon,,,,,,Use in the Action phase. Select a detachment led by a Gorgon Commander. Until the end of the phase Gorgon units add 1 to wound rolls made with melee weapons.,
C2,76,Tyranids,13,Tunnel Networks,Jormungandr,,,,,,"Use when selecting a detachment led by a Jormungandr Commander to carry out an order.  Replace their order with Aimed Fire or Advance, and and Jormungandr units are obscured targets.",
C2,77,Tyranids,14,Endless Regeneration,Hydra,,,,,,Use in the Action phase.  Select on Hydra unit and remove up to D3 damage from that unit.,
C2,78,Tyranids,15,Bio Barrage,Kronos,,,,,,"Use when selecting a detachment led by a Kronos Commander to carry out an order.  Replace their order with Aimed Fire, and until the end of the phase, roll D12s instead of D6s for hit rolls made by ranged weapons by Kronos units in that detachment.",
C2,79,Drukhari,1,Webway Portal,Drukhari,,,,,,"Use in the Reinforcements Step. Select one Light Drukhari unit that has been destroyed and roll a D12. If the result exceeds the Power of the unit, place it set up anywhere more than 9” from enemy units. That unit is part of a new detachment. Otherwise, return this card to your hand you can't use it this turn.",
C2,80,Drukhari,2,Drain from Pain,Drukhari,,,,,,"Use in the Action Phase, after a blast marker has been placed on an enemy unit.  Until the end of the turn, Drukhari units within 6” of that unit ignore critically damaged effects, and +1 to their damage rolls.",
C2,81,Drukhari,3,Lightning Speed,Drukhari,,,,,,"Use before carrying out an order for a Detachment lead by a Drukhari Commander. The order is changed to Asault, and until the end of the phase, triple instead of double the Move Characterstic for Drukhari units in that detachment.",
C2,82,Drukhari,4,Hit And Run,Drukhari,,,,,,"Use before carrying out an order for a Detachment lead by a Drukhari Commander. The order is changed to Advance, and at the end of the detachments activation, each Drukhari unit in that Detachment may move 6”.",
C2,83,Drukhari,5,Meat Hooks,Drukhari,,,,,,"Choose a detachment lead by a Drukhari leader.  Up to 4 units with Fly that move over enemy Light units roll a D12. On a 6+, place a blast marker next to one enemy they flew over.",
C2,84,Drukhari,6,Cruel Deception,Drukhari,,,,,,"Use before carrying out an order for a Detachment lead by a Drukhari Commander. The order is changed to Advance, and until the end of the phase, Drukhari units that Fell Back may still attack after Falling Back.",
C2,85,Drukhari,7,Crucible of Malediction,Drukhari,Haemonculus,,,,,"Use if you have a Haemonculus unit when an opponent uses a psychic power Command Asset, after manifesting but before it is resolved. When used, roll a D6 and a D12. If the D6 is a 3+, cancel the effect of the power. If the D12 is a 5+, place a blast marker next to the unit manifesting that power.",
C2,86,Drukhari,8,Torment Bomb,Drukhari,Archon,,,,,"Use in the action phase. Select one Archon unit in your army, and select one point visible to the Archon. Roll a D12 for each enemy unit within 6” of that point. If the result is greater than or equal to the Leadership of the enemy unit, place a blast marker next to that unitA",
C2,87,Drukhari,9,Combat Drugs,Drukhari,Succubi,,,,,"Use in the Action phase. Select one Detachment lead by a Succubus unit in your army. Until the end of turn, roll D12s instead of D6s for hit rolls made by melee weapons with from Wych Cult units in that detachment.",
C2,88,Drukhari,10,Agents of vect,Kabal Black Heart,Kabal,,,,,"Play when a non-psychic Command Asset is played, before resolving its effect, if you have a Kabal of the Black Heart Warlord.  Roll a D12. On a 4+, the effect of the Command Card is cancelled, and discarded.",
C2,89,Drukhari,11,Failure is not an Option,Kabal of the Obsidian Rose,Kabal,,,,,"Play when a Kabal of the Obsidion Rose unit fails its Morale Test. They pass the test instead, and may then make a free shoot or fight action.",
C2,90,Drukhari,12,The Serpent's Kiss,Kabal,Kabal,,,,,"Play in the Action Phase. Select one detachment lead by a Kabal of the Poisoned Tongue Commander. Until the end of the phase, add 1 to wound rolls for weapons made by Kabal of the Poisoned Tongue unit in that detachment, that target Light units.",
C2,91,Drukhari,13,Slay from the Skies,Kabal of the Flayed Skull,Kabal,,,,,"Use before carrying out an order for a Detachment lead by a Kabal of the Flayed Skull Commander. The order is changed to Advance, and until the end of the phase, add 1 for to-hit rolls and double the Move Characterstic for Kabal of Flayed Skull units with Fly in that detachment.",
C2,92,Drukhari,14,No Method of Death Beyond Grasp,Cult of Strife,Wych Cult,,,,,"Select a detachment led by a Cult of Strife Commander. The detachment's order is replaced with 'Advance'. Select up to 3 Cult of Strife units in that detachment. After activating, they may make an addition shoot action, even targeting enemy units in base contact with them.",
C2,93,Drukhari,15,Hyper Swift Reflexes,Cult of the Red Grief,Wych Cult,,,,,"Use in the damage phase.  Choose a Cult of the Red Grief unit, a Cult of Red Grief light Character, or both in your army. Until the end of the phase, they Roll D12s for saving throws no matter the size of blast markers next to it.",
C2,94,Drukhari,16,Only the Strong Thrive,Cult of the Cursed Blade,Wych Cult,,,,,"Use before carrying out an order for a Detachment lead by a Cult of the Cursed Blade Commander. Until the end of the turn, re-roll hit and wound rolls of 1 for attacks by Cult of Cursed Blade units in that detachment, as well as saving throws of 1 by Cult of Cursed Blade units in that detachment.",
C2,95,Drukhari,17,Connoisseurs of pain ,Prophets of Flesh,Coven,,,,,"Use at the start of the Damage phase. Select one detachment led by a Prophets of Flesh Commander. Until the end of the phase, Prophets of Felsh units in the deatchment have Ignore Damage (5+) ability.",
C2,96,Drukhari,18,Distillers of Fear,Dark Creed,Coven,,,,,"Use at the start of the Damage Phase. Select one detachment lead by a Dark Creed Commander.  Until the end of the phase, Dark Creed units in that detachment have the Terror Troops ability.",
C2,97,Drukhari,19,Administer Punishment,Coven of Twelve,Coven,,,,,"Use in the action phase. Select one detachment led by a Coven of Twelve Commander. Until the end of phase, Coven of Twelve units may make shoot actions against enemy units engaged by friendly units to gain re-rolls on failed to wound rolls. On to-hit rolls of a 1, resolve against friendly units engaging the target.",
C2,98,,,,,,,,,,,
C2,99,,,,,,,,,,,
C2,100,,,,,,,,,,,
C2,101,,,,,,,,,,,
C2,102,,,,,,,,,,,
C2,103,,,,,,,,,,,
C2,104,,,,,,,,,,,
C2,105,,,,,,,,,,,
C2,106,,,,,,,,,,,
C2,107,,,,,,,,,,,
C2,108,,,,,,,,,,,
C2,109,,,,,,,,,,,
C2,110,,,,,,,,,,,
C2,111,,,,,,,,,,,
C2,112,,,,,,,,,,,
C2,113,,,,,,,,,,,
C2,114,,,,,,,,,,,
C2,115,,,,,,,,,,,
C2,116,,,,,,,,,,,
C2,117,,,,,,,,,,,
C2,118,,,,,,,,,,,
C2,119,,,,,,,,,,,
C2,120,,,,,,,,,,,
C2,121,,,,,,,,,,,
C2,122,,,,,,,,,,,
C2,123,,,,,,,,,,,
C2,124,,,,,,,,,,,
C2,125,,,,,,,,,,,
C2,126,,,,,,,,,,,
C2,127,,,,,,,,,,,
C2,128,,,,,,,,,,,
C2,129,,,,,,,,,,,
C2,130,,,,,,,,,,,
C2,131,,,,,,,,,,,
C2,132,,,,,,,,,,,
C2,133,,,,,,,,,,,
C2,134,,,,,,,,,,,
C2,135,,,,,,,,,,,
C2,136,,,,,,,,,,,
C2,137,,,,,,,,,,,
C2,138,,,,,,,,,,,
C2,139,,,,,,,,,,,
C2,140,,,,,,,,,,,
C2,141,,,,,,,,,,,
C2,142,,,,,,,,,,,
C3,1,,,,,,,,,,,
C3,2,,,,,,,,,,,
C3,3,,,,,,,,,,,
C3,4,,,,,,,,,,,
C3,5,,,,,,,,,,,
C3,6,,,,,,,,,,,
