Set,Nm,Fac,Fac Nm,Name,Type,SubType,Cst,Atk,Life,Sh,Abilities1,Abilities2
C3,29,Tau,8,Invocation of the Elements,Tau,Ethereal,,,,,"Use in the Action phase. When used, select one Tau Ethereal unit. Until the end of the turn, add 1 to hit and wound rolls by Tau units within 6” of the Ethereal unit, and add 1 to saving throws for Tau units within 6” of that Ethereal unit.",
C3,30,Tau,9,Early Warning Overrides,Tau,Battlesuit,,,,,"Use in the Set up Reinforcements step, after an enemy has set up an enemy unit that phase. One Tau Battlesuit makes a free shoot action against that enemy unit.",
C3,31,Tau,10,Calm Discipline,Sa'cea,,,,,,"Select a detachment led by a Sa'cea Sept Commander. The detachment's order is replaced with 'Advance', and Sa'cea Sept units in the detachment add 1 to hit rolls with ranged weapons, and 2 to their leadership characterstic, until the end of their turn.",
C3,32,Tau,11,Adaptive Camoflage,Dal'yth,,,,,,"Use in the action phase. Select a detachment lead by a Dal'yth Sept Commander. Until the end of the turn, Dal'yth Sept units in that detachment are obscured targets.",
C3,33,Tau,12,Drop Zone Clearance,Farsight Enclaves,,,,,,Use in the Set up Reinforcements step. Up to 3 Farsight Enclaves Battlesuit units that were set up this phase make make 1 free shoot action.,
C3,34,Tau,13,Superior Craftsmanship,Bork'an,,,,,,"Use in the Action phase. Select a detachment lead by a Bork'an Commander. Until the end of the turn, add 6” to the Range of ranged weapons for Bork'an Sept units, or 12” if they are performing the Aim Fire order.",
C3,35,Tau,14,Strike Fast,Vior'la,,,,,,"Select a detachment led by a Vior'la Sept Commander. The detachment's order is replaced with 'Advance', and Vior'la Sept units in the detachment double their Move is doubled until the end of turn..",
C3,36,Genestealer Cults,1,Concealed Explosives,Genestealer Cults,Warlord,,,,,"Use in the Action Phase. Select D3 points within 18” of a Genstealer Cults Warlord. Roll a D12 for each unit within 6” of those points, subtracting 2 from rolls if they are a Light Character, and 2 to the roll if they are Super-Heavy or Garrisoning Defensible Terrain. On an 8+, place a blast marker next to the unit.",
C3,37,Genestealer Cults,2,Unquestioning Loyalty,Genestealer Cults,Character,,,,,Use at the start of the Damage phase. Select a Genestealer Cults Character that has blast markers on it. Move up to 3 blast markers to a friendly Genestealer Cults Light unit within 6”.,
C3,38,Genestealer Cults,3,A Perfect Ambush,Genestealer Cults,Light,,,,,"Use in the Reinforcements Step. Select a Genestealer Cults Light unit that was destroyed and roll a D12. If the result was equal or above the power of the unit, set up that unit anywhere on the battlefield, and 9” from any enemy units.  If you roll below the power of the unit, put this card back into your hand instead of discarding it.",
C3,39,Genestealer Cults,4,Lurk in the Shadows,Genestealer Cults,,,,,,"Use in the Action Phase. Select a Genstealer Cults detachment. Until the end of the turn, Genestealer Cults in that detachment are Obscured targets.",
C3,40,Genestealer Cults,5,Dark Shadows,Genestealer Cults,Light,,,,,"Use at the end of the damage phase, remove up to 2 Genestealer Cults Light unit from the battlefield, put the unit into Tactical Reserves. Remove up to 3 damage markers on them. They have Deep Strike.",
C3,41,Genestealer Cults,6,Rigged to Blow,Genestealer Cults,Biker or Vehicle,,,,,"Use when a Genestealer Cults biker or vehicle is destroyed. Roll a D12 for units within 6”.  on a 6+, put a blast marker next to them.",
C3,42,Genestealer Cults,7,Mass Hypnosis,Genestealer Cults,Psychic,,,,,"Use in the Action phase. Select a Genestealer Cults Psyker and roll a D12. On a 2+, 1/2 the Attacks characterstic of enemy light units within 6” of that Psyker. On an 11+, Increase the range to 9”.",
C3,43,Genestealer Cults,8,Telepathic Summons,Genestealer Cults,Psychic,,,,,"Use in the Action phase. Select a Genestealer Cults Psyker and roll a D12. On a 3+, add a Genestealer Cults Light unit with Power Rating 10 or less anywhere on the battlefield, and 9” from any enemy units.  It is part of the Psyker's detachment.",
C3,44,Genestealer Cults,9,Mind Control,Genestealer Cults,Psychic,,,,,"Use in the Action phase. Select a Genestealer Cults Psyker and roll a D12. On a 3+, a Light or Heavy unit within 24” of the Psyker makes a free shoot or fight action as if it were part of your army.",
C3,45,Genestealer Cults,10,Driven By Demolitions,Rusted Claw,Biker or Vehicle,,,,,"Use when a Rusted Claw Biker or Vehicle makes a Move action. Select  1 enemy unit within 6”, and roll a D12. On a 3-7, place a blast marker next to it. on a 8+, place 2 blast markers next to that unit. If the enemy unit is Super-Heavy, double the blast markers place next to it.",
C3,46,Genestealer Cults,11,Overthrow the Oppressors,Bladed Cog,,,,,,"Use in the action phase. Until the end of the turn, Bladed Clog units that arget enemy Character units roll D12s instead of D6s for to-hit rolls.",
C3,47,Genestealer Cults,12,Subterranean Ambushers,Cult of the Four-Armed Emperor,,,,,,"Use when your opponent selects a detachment to carry out an order. Select a detachment lead by a Four-Armed Emperor that has not carried out an order. They carry out their order, and if a Four-Armed Emperor unit in that detachment was set up on the battlefield this turn, they add 1 to hit rolls.",
C3,48,Genestealer Cults,13,Devoted Zealots,Pauper Princes,,,,,,"Use in the Action Phase. Select one detachment lead by a Pauper Princes Commander.  Until the end of the turn, Pauper Prince units in that detachment can re-roll to hit rolls for attacks with melee weapons, and can re-roll Morale tests.",
C3,49,Genestealer Cults,14,Disciplined Militants,Hivecult,,,,,,"Use in the Action phase before choosing a detachment to carry out their order. Select one detachment lead by a Hivecult Commander. Until the end of the turn, Hivecult units in that detachment that Fall Back may still make Fight or Shoot actions, and add 2 to their Leadership Characteristic.",
C3,50,Genestealer Cults,15,Monstrous Bio-Horrors,Twisted Helix,Light,,,,,Use in the Action Phase. Choose 1 Twisted Helix Light unit in your army.  That unit makes 2 free Fight actions immediately.,
C3,51,Harlequins,1,Prismatic Blur,Harlequins,,,,,,"Use at the start of the damage phase. Until the end of the phase, all Harlequins in one detachment gain +2 to saving throws.",
C3,52,Harlequins,2,Luck of the Laughing God,Harlequins,,,,,,"Use after you roll a D6 or D12 in the orders, action or damage phase for a Harlequins unit. Change the result of a single D6 or D12 to the result of your choosing.",
C3,53,Harlequins,3,Webway Assault,Harlequins,,,,,,"Use in the Reinforcements Step.  Select a Harlequins non-character Light unit  that has been destroyed and roll a D12. If the result exceeds the Power Rating of the unit, set it up more than 9” from enemy units, in its own deatchment. Otherwise return this card to your hand and you can't use it this turn.",
C3,54,Harlequins,4,Veil of Tears,Harlequins,Psychic,,,,,"use in the Action phase. Roll a D12. on a 2+, a Harlequin unit within 12” of a Harlequins Psyker can only be target of ranged weapons if it is the closest enemy to the firing unit until the end of the phase.",
C3,55,Adeptus Custodes,1,Sword Guardians,Adeptus Custodes,,,,,,Use at the start of the Damage phase. Move d3 blast markers from an Imperium Character to a Light Adeptus Custodes unit within 6” of it.,
C3,56,Adeptus Custodes,2,Peerless Warrior,Adeptus Custodes,Character,,,,,"Use in the Action phase. Until the end of the phase, 1 Adeptus Custodes Characters gets +2 attacks and +3 to wound rolls with melee weapons.",
C3,57,Adeptus Custodes,3,From Golden Light,Adeptus Custodes,Light or Deadnaught,,,,,"Use in the Action phase. Remove 1 Adeptus Custodes Light or Dreadnaught from the table, and set it up anywhere more than 9” from your enemy units.",
C3,58,,,,,,,,,,,
C3,59,,,,,,,,,,,
C3,60,,,,,,,,,,,
C3,61,,,,,,,,,,,
C3,62,,,,,,,,,,,
C3,63,,,,,,,,,,,
C3,64,,,,,,,,,,,
C3,65,,,,,,,,,,,
C3,66,,,,,,,,,,,
C3,67,,,,,,,,,,,
C3,68,,,,,,,,,,,
C3,69,,,,,,,,,,,
C3,70,,,,,,,,,,,
C3,71,,,,,,,,,,,
C3,72,,,,,,,,,,,
C3,73,,,,,,,,,,,
C3,74,,,,,,,,,,,
C3,75,,,,,,,,,,,
C3,76,,,,,,,,,,,
C3,77,,,,,,,,,,,
C3,78,,,,,,,,,,,
C3,79,,,,,,,,,,,
C3,80,,,,,,,,,,,
C3,81,,,,,,,,,,,
C3,82,,,,,,,,,,,
C3,83,,,,,,,,,,,
C3,84,,,,,,,,,,,
C3,85,,,,,,,,,,,
C3,86,,,,,,,,,,,
C3,87,,,,,,,,,,,
C3,88,,,,,,,,,,,
C3,89,,,,,,,,,,,
C3,90,,,,,,,,,,,
C3,91,,,,,,,,,,,
C3,92,,,,,,,,,,,
C3,93,,,,,,,,,,,
C3,94,,,,,,,,,,,
C3,95,,,,,,,,,,,
C3,96,,,,,,,,,,,
C3,97,,,,,,,,,,,
C3,98,,,,,,,,,,,
C3,99,,,,,,,,,,,
C3,100,,,,,,,,,,,
C3,101,,,,,,,,,,,
C3,102,,,,,,,,,,,
C3,103,,,,,,,,,,,
C3,104,,,,,,,,,,,
C3,105,,,,,,,,,,,
C3,106,,,,,,,,,,,
C3,107,,,,,,,,,,,
C3,108,,,,,,,,,,,
C3,109,,,,,,,,,,,
C3,110,,,,,,,,,,,
C3,111,,,,,,,,,,,
C3,112,,,,,,,,,,,
C3,113,,,,,,,,,,,
C3,114,,,,,,,,,,,
C3,115,,,,,,,,,,,
C3,116,,,,,,,,,,,
C3,117,,,,,,,,,,,
C3,118,,,,,,,,,,,
C3,119,,,,,,,,,,,
C3,120,,,,,,,,,,,
C3,121,,,,,,,,,,,
C3,122,,,,,,,,,,,
C3,123,,,,,,,,,,,
C3,124,,,,,,,,,,,
C3,125,,,,,,,,,,,
C3,126,,,,,,,,,,,
C3,127,,,,,,,,,,,
C3,128,,,,,,,,,,,
C3,129,,,,,,,,,,,
C3,130,,,,,,,,,,,
C3,131,,,,,,,,,,,
C3,132,,,,,,,,,,,
C3,133,,,,,,,,,,,
C3,134,,,,,,,,,,,
C3,135,,,,,,,,,,,
C3,136,,,,,,,,,,,
C3,137,,,,,,,,,,,
C3,138,,,,,,,,,,,
C3,139,,,,,,,,,,,
C3,140,,,,,,,,,,,
C3,141,,,,,,,,,,,
C3,142,,,,,,,,,,,
C3,143,,,,,,,,,,,
C3,144,,,,,,,,,,,
C3,145,,,,,,,,,,,
C3,146,,,,,,,,,,,
C3,147,,,,,,,,,,,
C3,148,,,,,,,,,,,
